code,theme,name,price,rating,pieces,vip_points,URL,scraped_on
40440,BrickHeadz,German Shepherd,14.99,,247.0,68,https://www.lego.com/en-us/product/german-shepherd-40440,2023-04-23
40441,BrickHeadz,Shorthair Cats,14.99,,250.0,68,https://www.lego.com/en-us/product/shorthair-cats-40441,2023-04-23
40442,BrickHeadz,Goldfish,14.99,4.8,186.0,68,https://www.lego.com/en-us/product/goldfish-40442,2023-04-23
40443,BrickHeadz,Budgie,14.99,,261.0,68,https://www.lego.com/en-us/product/budgie-40443,2023-04-23
40454,Spider-Man,Spider-Man versus Venom and Iron Venom,14.99,4.7,63.0,78,https://www.lego.com/en-us/product/tbd-mf-set-2021-co-creation02-pmd-40454,2023-04-23
40456,Disney™,Mickey Mouse,16.99,,118.0,88,https://www.lego.com/en-us/product/mickey-mouse-40456,2023-04-23
40457,Disney™,Minnie Mouse,16.99,4.8,140.0,88,https://www.lego.com/en-us/product/minnie-mouse-40457,2023-04-23
40466,BrickHeadz,Chinese New Year Pandas,19.99,,249.0,91,https://www.lego.com/en-us/product/chinese-new-year-pandas-40466,2023-04-23
40476,BrickHeadz,Daisy Duck,9.99,4.7,110.0,65,https://www.lego.com/en-us/product/daisy-duck-40476,2023-04-23
40477,BrickHeadz,"Scrooge McDuck, Huey, Dewey & Louie",24.99,,340.0,162,https://www.lego.com/en-us/product/scrooge-mcduck-huey-dewey--louie-40477,2023-04-23
40478,Disney™,Mini Disney Castle,39.99,,567.0,260,https://www.lego.com/en-us/product/mini-disney-castle-40478,2023-04-23
40479,BrickHeadz,Dalmatian,14.99,,252.0,68,https://www.lego.com/en-us/product/dalmatian-40479,2023-04-23
40495,BrickHeadz,"Harry, Hermione, Ron & Hagrid™",24.99,4.8,466.0,162,https://www.lego.com/en-us/product/harry-hermione-ron--hagrid-40495,2023-04-23
40496,BrickHeadz,"Voldemort™, Nagini & Bellatrix",24.99,,344.0,130,https://www.lego.com/en-us/product/voldemort-nagini--bellatrix-40496,2023-04-23
40518,Creator Expert,High-Speed Train,19.99,,284.0,130,https://www.lego.com/en-us/product/high-speed-train-40518,2023-04-23
40521,Disney™,Mini Disney The Haunted Mansion,39.99,,680.0,260,https://www.lego.com/en-us/product/mini-disney-the-haunted-mansion-40521,2023-04-23
40525,Marvel,Endgame Battle,14.99,4.5,62.0,78,https://www.lego.com/en-us/product/tbd-lel-infinity-saga-40525,2023-04-23
40526,City,Electric Scooters & Charging Dock,12.99,4.6,50.0,68,https://www.lego.com/en-us/product/electric-scooters--charging-dock-40526,2023-04-23
40535,Brick Sketches™,Iron Man,16.99,,200.0,66,https://www.lego.com/en-us/product/iron-man-40535,2023-04-23
40536,Spider-Man,Miles Morales,16.99,4.9,214.0,77,https://www.lego.com/en-us/product/miles-morales-40536,2023-04-23
40539,Star Wars™,Ahsoka Tano™,9.99,4.9,164.0,65,https://www.lego.com/en-us/product/ahsoka-tano-40539,2023-04-23
40540,BrickHeadz,Lion Dance Guy,9.99,,239.0,65,https://www.lego.com/en-us/product/lion-dance-guy-40540,2023-04-23
40541,BrickHeadz,Manchester United Go Brick Me,19.99,,530.0,130,https://www.lego.com/en-us/product/conf-sport-1-40541,2023-04-23
40542,BrickHeadz,FC Barcelona Go Brick Me,19.99,,530.0,130,https://www.lego.com/en-us/product/conf-sport-2-40542,2023-04-23
40543,BrickHeadz,St. Bernard,14.99,4.8,236.0,68,https://www.lego.com/en-us/product/pets---st-bernard-40543,2023-04-23
40544,BrickHeadz,Pets - French Bulldog,14.99,4.8,237.0,68,https://www.lego.com/en-us/product/pets---french-bulldog-40544,2023-04-23
40545,BrickHeadz,Koi Fish,14.99,5.0,203.0,68,https://www.lego.com/en-us/product/koi-fish-40545,2023-04-23
40546,BrickHeadz,Poodle,14.99,5.0,304.0,68,https://www.lego.com/en-us/product/poodle-40546,2023-04-23
40547,BrickHeadz,Obi-Wan Kenobi™ & Darth Vader™,19.99,4.6,260.0,130,https://www.lego.com/en-us/product/tbd-sw2-40547,2023-04-23
40548,BrickHeadz,Spice Girls Tribute,49.99,4.8,578.0,195,https://www.lego.com/en-us/product/spice-girls-tribute-40548,2023-04-23
40550,Disney™,Chip & Dale,19.99,4.8,226.0,130,https://www.lego.com/en-us/product/tbd-disney-1-40550,2023-04-23
40552,BrickHeadz,Buzz Lightyear,9.99,4.8,114.0,52,https://www.lego.com/en-us/product/confts1-40552,2023-04-23
40553,Disney™,Woody and Bo Peep,19.99,4.9,296.0,130,https://www.lego.com/en-us/product/confts2-40553,2023-04-23
40554,BrickHeadz,Jake Sully & his Avatar,19.99,,246.0,130,https://www.lego.com/en-us/product/tbd-coconut-40554,2023-04-23
40559,BrickHeadz,Road Runner™ & Wile E. Coyote™,19.99,4.9,205.0,91,https://www.lego.com/en-us/product/looney-tunes-40559,2023-04-23
40560,Harry Potter™,Professors of Hogwarts™,39.99,,601.0,260,https://www.lego.com/en-us/product/professors-of-hogwarts-40560,2023-04-23
40615,Star Wars™,Tusken Raider™,9.99,,152.0,65,https://www.lego.com/en-us/product/tusken-raider-40615,2023-04-23
40619,BrickHeadz,EVE & WALL•E,14.99,4.9,155.0,97,https://www.lego.com/en-us/product/eve--walle-40619,2023-04-23
40620,BrickHeadz,Cruella & Maleficent,19.99,4.8,320.0,130,https://www.lego.com/en-us/product/cruella--maleficent-40620,2023-04-23
40621,BrickHeadz,Moana & Merida,19.99,4.8,410.0,130,https://www.lego.com/en-us/product/moana--merida-40621,2023-04-23
40622,Disney™,Disney 100th Celebration,39.99,4.7,501.0,260,https://www.lego.com/en-us/product/disney-100th-celebration-40622,2023-04-23
40623,Star Wars™,Battle of Endor™ Heroes,39.99,,549.0,260,https://www.lego.com/en-us/product/battle-of-endor-heroes-40623,2023-04-23
40624,BrickHeadz,Alex,9.99,,86.0,65,https://www.lego.com/en-us/product/alex-40624,2023-04-23
40625,BrickHeadz,Llama,9.99,5.0,100.0,65,https://www.lego.com/en-us/product/llama-40625,2023-04-23
40626,BrickHeadz,Zombie,9.99,5.0,81.0,65,https://www.lego.com/en-us/product/brickheadz-12-gaming-minecraft-3-40626,2023-04-23
40630,BrickHeadz,Frodo™ & Gollum™,14.99,,184.0,97,https://www.lego.com/en-us/product/frodo--gollum-40630,2023-04-23
40631,BrickHeadz,Gandalf the Grey™ & Balrog™,19.99,4.7,348.0,130,https://www.lego.com/en-us/product/gandalf-the-grey--balrog-40631,2023-04-23
40632,BrickHeadz,Aragorn™ & Arwen™,19.99,4.8,261.0,130,https://www.lego.com/en-us/product/aragorn--arwen-40632,2023-04-23
41168,Frozen,Elsa's Jewelry Box Creation,39.99,4.6,300.0,260,https://www.lego.com/en-us/product/elsa-s-jewelry-box-creation-41168,2023-04-23
41441,Friends,Horse Training and Trailer,29.99,,148.0,156,https://www.lego.com/en-us/product/horse-training-and-trailer-41441,2023-04-23
41443,Friends,Olivia's Electric Car,14.99,4.9,183.0,97,https://www.lego.com/en-us/product/olivias-electric-car-41443,2023-04-23
41677,Friends,Forest Waterfall,9.99,,93.0,65,https://www.lego.com/en-us/product/forest-waterfall-41677,2023-04-23
41696,Friends,Pony-Washing Stable,9.99,4.8,60.0,65,https://www.lego.com/en-us/product/pony-washing-stable-41696,2023-04-23
41697,Friends,Turtle Protection Vehicle,9.99,4.9,90.0,65,https://www.lego.com/en-us/product/turtle-protection-vehicle-41697,2023-04-23
41698,Friends,Pet Playground,19.99,4.9,210.0,104,https://www.lego.com/en-us/product/pet-playground-41698,2023-04-23
41699,Friends,Pet Adoption Café,29.99,4.9,292.0,195,https://www.lego.com/en-us/product/pet-adoption-cafe-41699,2023-04-23
41703,Friends,Friendship Tree House,79.99,4.8,1114.0,520,https://www.lego.com/en-us/product/friendship-tree-house-41703,2023-04-23
41704,Friends,Main Street Building,159.99,4.9,1682.0,1040,https://www.lego.com/en-us/product/main-street-building-41704,2023-04-23
41705,Friends,Heartlake City Pizzeria,14.99,4.9,144.0,97,https://www.lego.com/en-us/product/heartlake-city-pizzeria-41705,2023-04-23
41706,Friends,LEGO® Friends Advent Calendar,34.99,2.9,312.0,159,https://www.lego.com/en-us/product/lego-friends-advent-calendar-41706,2023-04-23
41707,Friends,Tree-Planting Vehicle,29.99,4.9,336.0,195,https://www.lego.com/en-us/product/tree-planting-vehicle-41707,2023-04-23
41708,Friends,Roller Disco Arcade,59.99,4.9,642.0,390,https://www.lego.com/en-us/product/roller-disco-arcade-41708,2023-04-23
41711,Friends,Emma's Art School,69.99,4.9,844.0,455,https://www.lego.com/en-us/product/emmas-art-school-41711,2023-04-23
41712,Friends,Recycling Truck,19.99,4.8,259.0,130,https://www.lego.com/en-us/product/recycling-truck-41712,2023-04-23
41713,Friends,Olivia's Space Academy,69.99,,757.0,455,https://www.lego.com/en-us/product/olivias-space-academy-41713,2023-04-23
41714,Friends,Andrea's Theater School,99.99,4.8,1154.0,650,https://www.lego.com/en-us/product/andreas-theater-school-41714,2023-04-23
41715,Friends,Ice-Cream Truck,19.99,4.9,84.0,130,https://www.lego.com/en-us/product/ice-cream-truck-41715,2023-04-23
41716,Friends,Stephanie's Sailing Adventure,39.99,4.9,304.0,260,https://www.lego.com/en-us/product/stephanies-sailing-adventure-41716,2023-04-23
41717,Friends,Mia's Wildlife Rescue,49.99,4.9,430.0,325,https://www.lego.com/en-us/product/mias-wildlife-rescue-41717,2023-04-23
41718,Friends,Pet Day-Care Center,69.99,,593.0,455,https://www.lego.com/en-us/product/pet-day-care-center-41718,2023-04-23
41719,Friends,Mobile Fashion Boutique,9.99,4.9,94.0,65,https://www.lego.com/en-us/product/mobile-fashion-boutique-41719,2023-04-23
41720,Friends,Water Park,49.99,4.9,373.0,325,https://www.lego.com/en-us/product/water-park-41720,2023-04-23
41721,Friends,Organic Farm,89.99,5.0,826.0,585,https://www.lego.com/en-us/product/organic-farm-41721,2023-04-23
41722,Friends,Horse Show Trailer,99.99,5.0,989.0,650,https://www.lego.com/en-us/product/horse-show-trailer-41722,2023-04-23
